Time,IDirNorm,WindVel
6013,61,1.5
6014,133,2.1
6015,164,2.6
6016,116,2.396413988
6017,148,2.301847084
6018,81,2.097450834
6019,0,1.701881312
6020,0,1.404563989
6021,0,0.99959992
6022,0,0.99689518
6023,0,0.997246208
6024,0,1
6025,0,1
6026,0,1
6027,0,1
6028,0,1
6029,0,1
6030,0,1
6031,0,1
6032,180,1
6033,454,1
6034,459,1.5
6035,334,2.097641533
6036,232,2.597248544
6037,139,2.597248544
6038,115,2.597248544
6039,74,2.597248544
6040,206,2.397081559
6041,306,2.299565176
6042,133,2.097450834
6043,0,1.695464538
6044,0,1.39917833
6045,0,1
6046,0,1
6047,0,1
6048,0,1
6049,0,1.4
6050,0,1.7
6051,0,2.1
6052,0,1.7
6053,0,1.398427689
6054,0,0.99959992
6055,0,1.2
6056,29,1.3
6057,11,1.49939988
6058,14,2.204109798
6059,11,2.903377344
6060,8,3.599124894
6061,15,3.805798208
6062,18,3.895394717
6063,15,4.1
6064,8,3.204886893
6065,0,2.404682931
6066,0,1.498032042
6067,0,1.902629759
6068,0,2.204109798
6069,0,2.597248544
6070,0,2.600173071
6071,0,2.597383299
6072,0,2.6
6073,0,2.9
6074,0,3.298742185
6075,0,3.59684584
6076,0,3.298742185
6077,0,2.9
6078,0,2.6
6079,0,2.799464234
6080,0,2.900379286
6081,0,3.097046981
6082,0,2.79973213
6083,2,2.404163056
6084,3,2.097450834
6085,4,2.597883754
6086,3,3.097434422
6087,1,3.59684584
6088,0,3.597068251
6089,0,3.604552677
6090,0,3.6
6091,0,3.299712109
6092,0,2.895600111
6093,0,2.597883754
6094,0,2.200954338
6095,0,1.902629759
6096,0,1.498032042
6097,0,1.502664301
6098,0,1.49939988
6099,0,1.498032042
6100,0,1.305986217
6101,0,1.199708298
6102,0,1.00124922
6103,0,1.00124922
6104,0,1.00124922
6105,0,1.00124922
6106,0,1.00124922
6107,2,1.003444069
6108,7,0.99959992
6109,2,1.2
6110,2,1.296919427
6111,0,1.498032042
6112,0,2.505693517
6113,0,3.601999445
6114,0,4.596444278
6115,0,3.601999445
6116,0,2.505693517
6117,0,1.498032042
6118,0,1.49939988
6119,0,1.5
6120,0,1.49939988
6121,0,1.49939988
6122,0,1.49939988
6123,0,1.49939988
6124,0,1.49939988
6125,0,1.49939988
6126,0,1.49939988
6127,0,1.701881312
6128,185,1.904363411
6129,411,2.097450834
6130,641,1.701881312
6131,732,1.404563989
6132,798,0.99959992
6133,810,1.202081528
6134,803,1.296919427
6135,743,1.49939988
6136,652,1.701881312
6137,453,1.904363411
6138,161,2.097450834
6139,0,2.598557292
6140,0,3.094672842
6141,0,3.599124894
6142,0,3.599124894
6143,0,3.599124894
6144,0,3.599124894
6145,0,3.094672842
6146,0,2.598557292
6147,0,2.097450834
6148,0,2.299934782
6149,0,2.404163056
6150,0,2.597248544
6151,0,2.90396281
6152,0,3.29953027
6153,1,3.59684584
6154,72,2.898723857
6155,215,2.200954338
6156,511,1.498032042
6157,471,2.404682931
6158,371,3.202061836
6159,316,4.096644969
6160,367,4.397556139
6161,303,4.802759623
6162,129,5.1
6163,0,4.4
6164,0,3.8
6165,0,3.1
6166,0,2.9
6167,0,2.8
6168,0,2.6
6169,0,2.199386278
6170,0,1.895890292
6171,0,1.49939988
6172,0,1.301768028
6173,0,1.200166655
6174,0,1
6175,0,1.200166655
6176,172,1.301768028
6177,398,1.49939988
6178,468,1.994843352
6179,432,2.602498799
6180,340,3.1
6181,293,2.602498799
6182,289,1.994843352
6183,310,1.49939988
6184,312,1.49939988
6185,142,1.49939988
6186,89,1.49939988
6187,0,1.704846034
6188,0,1.894755921
6189,0,2.1
6190,0,2.597383299
6191,0,3.102337828
6192,0,3.59684584
6193,0,3.102337828
6194,0,2.597383299
6195,0,2.1
6196,0,1.894755921
6197,0,1.704846034
6198,0,1.49939988
6199,0,1.704846034
6200,56,1.894755921
6201,349,2.1
6202,634,2.401270497
6203,733,2.801285419
6204,807,3.094672842
6205,818,3.295481755
6206,806,3.395555919
6207,741,3.6
6208,389,3.301938824
6209,174,2.898499612
6210,11,2.597248544
6211,0,2.201681176
6212,0,1.904363411
6213,0,1.49939988
6214,0,1.202081528
6215,0,0.797119815
6216,0,0.49979996
6217,0,0.698569968
6218,0,0.797057087
6219,0,0.99959992
6220,0,1.202081528
6221,0,1.296919427
6222,0,1.49939988
6223,0,1.301768028
6224,0,1.200166655
6225,0,1
6226,6,1.003194896
6227,7,1.00448992
6228,7,0.99959992
6229,2,1.199208072
6230,2,1.3
6231,0,1.5
6232,0,1.702057578
6233,0,1.899921051
6234,0,2.101094953
6235,0,2.101071155
6236,0,2.101166343
6237,0,2.097450834
6238,0,1.701881312
6239,0,1.404563989
6240,0,0.99959992
6241,0,1.202081528
6242,0,1.296919427
6243,0,1.49939988
6244,0,1.296919427
6245,0,1.202081528
6246,0,0.99959992
6247,0,1.404563989
6248,78,1.701881312
6249,339,2.097450834
6250,593,2.094015282
6251,721,2.094015282
6252,794,2.097450834
6253,803,2.9
6254,789,3.795589546
6255,714,4.596444278
6256,611,3.902025115
6257,412,3.302029679
6258,118,2.597248544
6259,0,2.404079866
6260,0,2.303150017
6261,0,2.101094953
6262,0,1.69649639
6263,0,1.398177385
6264,0,1.00124922
6265,0,0.795110055
6266,0,0.702922471
6267,0,0.496789694
6268,0,0.701141926
6269,0,0.801560977
6270,0,0.99959992
6271,0,1.502830662
6272,148,2.094015282
6273,377,2.6
6274,458,2.898723857
6275,407,3.301832824
6276,329,3.6
6277,466,4.6
6278,577,5.7
6279,700,6.7
6280,608,6.40290559
6281,406,6.000833275
6282,111,5.703691787
6283,0,5.197114584
6284,0,4.599130353
6285,0,4.102340795
6286,0,4.798603964
6287,0,5.49931814
6288,0,6.203490953
6289,0,6.49556772
6290,0,6.896557112
6291,0,7.2
6292,0,5.296045695
6293,0,3.404115157
6294,0,1.49939988
6295,0,1.998224212
6296,0,2.599249892
6297,38,3.094672842
6298,30,3.799328888
6299,18,4.4
6300,3,5.096243715
6301,6,4.399556796
6302,74,3.79778883
6303,90,3.094672842
6304,51,3.094672842
6305,25,3.094672842
6306,0,3.094672842
6307,0,3.300802933
6308,0,3.396115428
6309,0,3.59684584
6310,0,3.601999445
6311,0,3.599124894
6312,0,3.599124894
6313,0,3.300802933
6314,0,2.896204413
6315,0,2.597883754
6316,0,2.402602755
6317,0,2.203020654
6318,0,2.097736876
6319,0,1.904363411
6320,118,1.700735135
6321,328,1.498032042
6322,460,1.498165545
6323,415,1.502697574
6324,329,1.49939988
6325,290,1.49939988
6326,285,1.49939988
6327,302,1.49939988
6328,145,2.204767561
6329,145,2.895600111
6330,9,3.599124894
6331,0,3.094672842
6332,0,2.597883754
6333,0,2.101094953
6334,0,1.697439248
6335,0,1.399785698
6336,0,0.99959992
6337,0,1.198540779
6338,0,1.305986217
6339,0,1.49939988
6340,0,1.296919427
6341,0,1.198165264
6342,0,1.00124922
6343,0,1.004041832
6344,0,0.997296345
6345,0,0.99959992
6346,19,1.202039933
6347,58,1.296919427
6348,112,1.498032042
6349,167,2.203837562
6350,232,2.900379286
6351,310,3.6
6352,354,2.9
6353,300,2.2
6354,88,1.5
6355,0,1.198206994
6356,0,0.800499844
6357,0,0.49979996
6358,0,0.49979996
6359,0,0.49979996
6360,0,0.49979996
6361,0,0.698569968
6362,0,0.797057087
6363,0,0.99959992
6364,0,1.498032042
6365,0,2.101071155
6366,0,2.597248544
6367,0,2.097450834
6368,0,1.49939988
6369,0,0.99959992
6370,0,1.398427689
6371,0,1.7
6372,2,2.1
6373,2,2.1
6374,2,2.1
6375,0,2.1
6376,21,2.100904567
6377,104,2.101071155
6378,41,2.097450834
6379,0,2.095709904
6380,0,2.103734774
6381,0,2.1
6382,0,1.9
6383,0,1.7
6384,0,1.5
6385,0,1.303610371
6386,0,1.200666482
6387,0,1
6388,0,1
6389,0,1
6390,0,1
6391,0,1
6392,0,1
6393,35,1
6394,15,1.2
6395,18,1.3
6396,3,1.5
6397,20,1.902761152
6398,14,2.199931817
6399,12,2.597248544
6400,4,3.600736036
6401,0,4.703403023
6402,0,5.7
6403,0,4.702276045
6404,0,3.597068251
6405,0,2.597248544
6406,0,1.901604586
6407,0,1.198206994
6408,0,0.5
6409,0,0.5
6410,0,0.5
6411,0,0.49979996
6412,0,0.702281995
6413,0,0.797119815
6414,0,0.99959992
6415,0,0.801560977
6416,0,0.701141926
6417,0,0.496789694
6418,0,1.004041832
6419,0,1.601030918
6420,2,2.097450834
6421,2,2.301847084
6422,2,2.396413988
6423,0,2.6
6424,2,2.597383299
